scenario_id,scenario_name,current_registry_status,current_implementation_status,required_data_class,required_data_rationale,required_data_fields,implementation_evidence,missing_data_reason,recommended_action,priority
RV-06,Consignment as Sales,Registered,Unimplemented,C,"실제 출하 내역, 공정 진척 확인서, 고객 인수증 등 추가 원천 증빙 정보 적재 필요","consignment_inventories_ledger, distributor_sales_reports",N/A,위탁 대리점의 실제 실매출 확인원 및 위탁 재고 수량 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P3
RV-07,Premature Recognition,Registered,Unimplemented,C,"실제 출하 내역, 공정 진척 확인서, 고객 인수증 등 추가 원천 증빙 정보 적재 필요",installation_acceptance_certificates,N/A,설치 완료 및 고객 검수 합격서 원본 대조용 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P3
RV-08,Gross vs Net Presentation,Registered,Unimplemented,E,"서신 내 이면 계약 주관적 정성 검토, 실질 지배력 판단(회계 기준 검토) 및 공정가치 평가는 정성 감사 영역",principal_vs_agent_contracts_review,N/A,총액 매출 vs 순액 매출 표시에 대한 실질 지배력 판단(회계 기준 검토) 정성 분석 영역,보류,HOLD
RV-09,Barter Transaction,Registered,Unimplemented,E,"서신 내 이면 계약 주관적 정성 검토, 실질 지배력 판단(회계 기준 검토) 및 공정가치 평가는 정성 감사 영역",non_monetary_barter_agreements_valuation,N/A,이종 자산 간 교환 거래의 공정가치 평가에 대한 세무/감정평가 영역,보류,HOLD
RV-10,Related Party Pricing,Registered,Unimplemented,B,GL의 가격 정보 외에 특수관계자 마스터 리스트를 통한 매핑 및 비교 검증 필요,"amount, account_code, related_party_registry",N/A,보조 데이터 모델(특수관계자 리스트 매핑표) 부재,보조 마스터 데이터 매핑표 설계 및 업로드 기능 개발,P2
SA-01,Channel Stuffing,Registered,Unimplemented,C,"실제 출하/반품 물류 인도 로그, 여신 한도 결재 대장, 매출채권 Aging 원장 등 추가 원천 데이터 대조 필수","shipping_documents_delivery_dates, sales_invoices, amount",N/A,실제 자재 출하/배송 완료 증빙 일자 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
SA-02,Unusual Returns,Registered,Unimplemented,C,"실제 출하/반품 물류 인도 로그, 여신 한도 결재 대장, 매출채권 Aging 원장 등 추가 원천 데이터 대조 필수","credit_notes_ledger, return_shipping_logs, amount",N/A,회계기초 대규모 반품 전표와 실제 물류 센터 입고 일자 대조용 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
SA-03,Credit Limit Override,Registered,Unimplemented,C,"실제 출하/반품 물류 인도 로그, 여신 한도 결재 대장, 매출채권 Aging 원장 등 추가 원천 데이터 대조 필수","credit_approval_logs, credit_limit_master, sales_invoices",N/A,거래처별 여신 한도 한계값 및 임의 여신 승인 이력 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
SA-04,AR Aging Manipulation,Registered,Unimplemented,C,"실제 출하/반품 물류 인도 로그, 여신 한도 결재 대장, 매출채권 Aging 원장 등 추가 원천 데이터 대조 필수","accounts_receivable_ledger_aging, cash_receipt_allocation_logs",N/A,매출채권 연령분석표(Aging Detail) 및 입금 대체 이력 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
SA-05,Unauthorized Discounts,Registered,Unimplemented,C,"실제 출하/반품 물류 인도 로그, 여신 한도 결재 대장, 매출채권 Aging 원장 등 추가 원천 데이터 대조 필수","billing_adjustment_logs, sales_orders_approval_history",N/A,정규 결재 프로세스를 우회한 수동 매출 할인/조정 로그 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
SA-06,Circular Trading,Registered,Unimplemented,D,국세청 매출/매입 세금계산서 이력 데이터 전수 연동 없이는 가상의 순환 거래 고리 식별 불가능,"sales_ledger, purchase_ledger, tax_invoice_registry_loops",N/A,국세청 세금계산서 순환 흐름을 분석할 매입/매출 세금계산서 전수 대조 API 부재,국세청 세금계산서 데이터 일괄 연동 모듈 설계,P2
SA-07,Revenue Cut-off Error,Registered,Unimplemented,C,"실제 출하/반품 물류 인도 로그, 여신 한도 결재 대장, 매출채권 Aging 원장 등 추가 원천 데이터 대조 필수","shipping_documents, sales_invoice_dates",N/A,매출 세금계산서 발행일과 실제 검수/인도 증빙 일자 대조용 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
SA-08,Duplicate Sales Recognition,Registered,Unimplemented,C,"실제 출하/반품 물류 인도 로그, 여신 한도 결재 대장, 매출채권 Aging 원장 등 추가 원천 데이터 대조 필수","shipping_documents, sales_invoice_sku_tracking",N/A,동일한 출하 증빙 번호로 중복 매출이 계상되었는지 검증할 SKU 레벨 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
SA-09,Customer Master Fraud,Registered,Unimplemented,D,ERP 마스터 데이터 변경 이력 테이블 및 실시간 데이터베이스 감사 로그 연동 필수,"customer_master_change_logs, sales_ledger",N/A,ERP 마스터 데이터 변경 이력 테이블 및 실시간 시스템 로그 연동 부재,ERP 변경 감사 로그(System Audit Log) 연동,P3
SA-10,Rebate Overcalculation,Registered,Unimplemented,C,"실제 출하/반품 물류 인도 로그, 여신 한도 결재 대장, 매출채권 Aging 원장 등 추가 원천 데이터 대조 필수","customer_sales_contracts, rebate_claims_logs, amount",N/A,대리점별 약정 할인율 및 판매 장려금 계산 원천 데이터 부재,추가 원천 데이터 업로드 테이블 설계 및 파이프라인 개발,P2
